Category,Fluid
Beverages & Food Products,Milk
Beverages & Food Products,Molasses wort
Beverages & Food Products,Orange juice
Beverages & Food Products,Spirit (of wine)
Beverages & Food Products,Spirits of wine
Beverages & Food Products,Starch solution
Beverages & Food Products,Starch syrup
Beverages & Food Products,Sugar acid
Beverages & Food Products,Sugar beet juice
Beverages & Food Products,Sugar syrup
Beverages & Food Products,Vinegar
Beverages & Food Products,Whey
Beverages & Food Products,Wort for fermentation
Beverages & Food Products,Yeast
Bleaches & Oxidizers,Chlorine dioxide
Bleaches & Oxidizers,Chlorine water
Bleaches & Oxidizers,Hydrogen peroxide
Bleaches & Oxidizers,Ozone
Bleaches & Oxidizers,Ozone-air-mixture
Bleaches & Oxidizers,Sodium chlorite
Bleaches & Oxidizers,Sodium perborate
Chlorinated Solvents,Carbon tetrachloride (TETRA)
Chlorinated Solvents,Chloroform
Chlorinated Solvents,Dichloroethane
Chlorinated Solvents,Dichloropropane
Chlorinated Solvents,Methylene chloride
Chlorinated Solvents,Tetrachloroethylene
Chlorinated Solvents,Trichloroethane
Chlorinated Solvents,Trichloroethylene (TRI)
Cleaning Agents & Surfactants,Cleaning agents
Cleaning Agents & Surfactants,Emulsifiers
Cleaning Agents & Surfactants,Soapy solution
Cleaning Agents & Surfactants,Sodium dodecylbenzene sulfonate
Cleaning Agents & Surfactants,Soft soap
Cleaning Agents & Surfactants,Wetting agent
Coolants & Antifreeze,Antifreeze agent (car)
"Diesel, Fuel Oils & Kerosene",Diesel fuel
"Diesel, Fuel Oils & Kerosene",Diesel fuel for heating
"Diesel, Fuel Oils & Kerosene",Diesel oil
"Diesel, Fuel Oils & Kerosene",Gasoline
"Diesel, Fuel Oils & Kerosene",Kerosene
"Diesel, Fuel Oils & Kerosene",Naphtha
"Diesel, Fuel Oils & Kerosene",White Spirit
Esters,Allyl acetate
Esters,"Amyl acetate, normal"
Esters,"Butyl acetate, normal"
Esters,Butyl acrylate
Esters,"Dibutyl phthalate, n-"
Esters,Dioctyl phthalate (DOP)
Esters,Ethyl acetate
Esters,Ethyl acrylate
Esters,Ethyl formate
Esters,Ethyl lactate
Esters,Isobutyl acetate
Esters,Isopropyl acetate
Esters,Methyl acetate
Esters,Methyl acrylate
Esters,Methyl formate
Esters,"Propyl acetate, normal"
Esters,Tributyl phosphate (TBP)
Esters,Trimethylolpropane
Esters,Vinyl acetate
Ethers,Anisole
Ethers,Diisopropyl ether
Ethers,Dioxane
Ethers,Diphenyl ether
Ethers,Furan
Ethers,Tetrahydrofuran (THF)
Fertilizers & Agrochemicals,Urea
Fluorocarbons & Refrigerants,Chlorodifluoroethane
Fluorocarbons & Refrigerants,Chlorodifluoromethane
Fluorocarbons & Refrigerants,Chlorofluorocarbons (CFC)
Fluorocarbons & Refrigerants,Chlorotrifluoromethane
Fluorocarbons & Refrigerants,Dichlorodifluoromethane
Fluorocarbons & Refrigerants,Dichlorohexafluorocyclobutane
Fluorocarbons & Refrigerants,Difluoromethane
Fluorocarbons & Refrigerants,Fluorocarbons
Fluorocarbons & Refrigerants,Perfluorocyclobutane
Fluorocarbons & Refrigerants,Tetrachlorodifluoroethane
Fluorocarbons & Refrigerants,Trichlorofluoromethane
Fluorocarbons & Refrigerants,Trichlorotrifluoroethane
Gases (dissolved or liquefied),Acetylene
Gases (dissolved or liquefied),Bromine steams
Gases (dissolved or liquefied),Butane
Gases (dissolved or liquefied),Carbon dioxide
Gases (dissolved or liquefied),"Carbon dioxide, damp"
Gases (dissolved or liquefied),"Carbon dioxide, dry"
Gases (dissolved or liquefied),Chlorine
Gases (dissolved or liquefied),"Exhaust gases, alkaline"
Gases (dissolved or liquefied),"Exhaust gases, containing carbon dioxide"
Gases (dissolved or liquefied),"Exhaust gases, containing nitrose"
Gases (dissolved or liquefied),"Exhaust gases, containing sulfur dioxide"
Gases (dissolved or liquefied),"Exhaust gases, containing sulfur trioxide"
Gases (dissolved or liquefied),Helium
Gases (dissolved or liquefied),Hydrogen
Gases (dissolved or liquefied),Methane
Gases (dissolved or liquefied),Nitrogen
Gases (dissolved or liquefied),Nitrogen tetroxide
Gases (dissolved or liquefied),Nitrose gases
Gases (dissolved or liquefied),Nitrous oxide
Gases (dissolved or liquefied),Oxygen
Gases (dissolved or liquefied),Propane
Gases (dissolved or liquefied),Sulfur dioxide
Gases (dissolved or liquefied),Sulfur trioxide
Gases (dissolved or liquefied),Xenon
Glycols & Polyols,Diethylene glycol
Glycols & Polyols,Diethylene glycolether
Glycols & Polyols,Dinitro ethylene glycol
Glycols & Polyols,Dipropylene glycol
Glycols & Polyols,Dipropylene glycol (mono)methyl ether
Glycols & Polyols,Ethylene glycol
Glycols & Polyols,Ethylene glycol monobutyl ether
Glycols & Polyols,Ethylene glycol monoethyl ether
Glycols & Polyols,Ethylene glycol monoethyl ether acetate
Glycols & Polyols,Ethylene glycol monomethyl ether
Glycols & Polyols,Ethylene glycol monomethyl ether oleate
Glycols & Polyols,Glycerol
Glycols & Polyols,Hexanetriol
Glycols & Polyols,Nitroglycerine
Glycols & Polyols,Polyethylene glycol
Glycols & Polyols,Propylene glycol
Glycols & Polyols,Triethylene glycol
Glycols & Polyols,Triethylene glycol diacetate
Glycols & Polyols,Tripropylene glycol (TPG)
Halogenated Compounds,Bromine
Halogenated Compounds,Bromine water
Halogenated Compounds,Bromobenzene
Halogenated Compounds,Fluorine
Halogenated Compounds,"Iodine, tincture of"
Hydraulic & Lubricating Oils,"HD-Oil motor oil, without aromatics"
Hydraulic & Lubricating Oils,Hydraulic oil (based on mineral oil)
Hydraulic & Lubricating Oils,Machine oil
Hydraulic & Lubricating Oils,Mineral oil
Hydraulic & Lubricating Oils,Motor oil
Hydraulic & Lubricating Oils,Transformer oil
Hydraulic & Lubricating Oils,Turbine oil (based on mineral oil)
Inorganic Alkalis & Bases,Ammonium hydroxide
Inorganic Alkalis & Bases,Barium hydroxide
Inorganic Alkalis & Bases,Potassium carbonate
Inorganic Alkalis & Bases,Potassium hydroxide
Inorganic Alkalis & Bases,Sodium carbonate
Inorganic Alkalis & Bases,Sodium hydroxide
Inorganic Salts,Allyl chloride
Inorganic Salts,Alumina acidic
Inorganic Salts,Aluminium fluoride
Inorganic Salts,Aluminum ammonium sulfate dodecahydrate
Inorganic Salts,Aluminum chloride
Inorganic Salts,Aluminum hydroxide
Inorganic Salts,Aluminum nitrate
Inorganic Salts,"Aluminum oxide, alpha-"
Inorganic Salts,Aluminum potassium sulfate
Inorganic Salts,Aluminum sodium sulfate
Inorganic Salts,Aluminum sulfate
Inorganic Salts,Ammonium acetate
Inorganic Salts,Ammonium bicarbonate
Inorganic Salts,Ammonium bisulfide
Inorganic Salts,Ammonium carbonate
Inorganic Salts,Ammonium chloride
Inorganic Salts,Ammonium difluoride
Inorganic Salts,Ammonium ferric sulfate
Inorganic Salts,Ammonium ferrous sulfate
Inorganic Salts,Ammonium fluoride
Inorganic Salts,Ammonium glycolate
Inorganic Salts,Ammonium heptamolybdate
Inorganic Salts,Ammonium nitrate
Inorganic Salts,Ammonium nitrite
Inorganic Salts,Ammonium oxalate
Inorganic Salts,Ammonium persulfate
Inorganic Salts,"Ammonium phosphate, Mono-"
Inorganic Salts,Ammonium polyphosphate (APP)
Inorganic Salts,Ammonium sulfate
Inorganic Salts,Ammonium thiocyanate
Inorganic Salts,Amyl chloride
Inorganic Salts,Antimony pentachloride
Inorganic Salts,Antimony trichloride
Inorganic Salts,Atropine sulfate
Inorganic Salts,Barium carbonate
Inorganic Salts,Barium chloride
Inorganic Salts,Barium dibromide
Inorganic Salts,Benzyl chloride
Inorganic Salts,Bismuth chloride
Inorganic Salts,"Bismuth nitrate, basic"
Inorganic Salts,Bromine pentafluoride
Inorganic Salts,Bromine trifluoride
Inorganic Salts,Cadmium bromide
Inorganic Salts,Calcium bicarbonate
Inorganic Salts,Calcium bromide
Inorganic Salts,Calcium carbonate
Inorganic Salts,Calcium chloride
Inorganic Salts,Calcium hypochlorite
Inorganic Salts,Calcium nitrate
Inorganic Salts,Calcium phosphate
Inorganic Salts,Calcium sulfate
Inorganic Salts,Carbon tetrabromide
Inorganic Salts,Cesium bromide
Inorganic Salts,Chlorine trifluoride
Inorganic Salts,Chromic potassium sulfate
Inorganic Salts,Chromium salts
Inorganic Salts,Cobalt dichloride
Inorganic Salts,Copper acetate
Inorganic Salts,Copper sulfate
Inorganic Salts,Cupric chloride
Inorganic Salts,Cupric nitrate
Inorganic Salts,Cuprous chloride
Inorganic Salts,Disodium phosphate
Inorganic Salts,Ethyl silicate
Inorganic Salts,Ethylene dibromiden (EDB)
Inorganic Salts,"Exhaust gases, containing hydrogen fluoride"
Inorganic Salts,Ferric chloride
Inorganic Salts,Ferric nitrate
Inorganic Salts,Ferric sulfate
Inorganic Salts,Ferrous chloride
Inorganic Salts,Ferrous sulfate
Inorganic Salts,Fluorides
Inorganic Salts,Hydrogen bromide
Inorganic Salts,Hydrogen chloride
Inorganic Salts,Hydrogen chloride (gas)
Inorganic Salts,Hydrogen fluoride
Inorganic Salts,Hydroxyaluminium di(acetate)
Inorganic Salts,Hydroxylamine disulfate
Inorganic Salts,Iodine pentafluoride
Inorganic Salts,Isopropyl chloride
Inorganic Salts,Lauryl chloride
Inorganic Salts,Lead acetate
Inorganic Salts,Lead nitrate
Inorganic Salts,Lead stearate
Inorganic Salts,Lead sulfate
Inorganic Salts,Lead tetraethyl (TEL)
Inorganic Salts,Lime chloride
Inorganic Salts,Lithium bromide
Inorganic Salts,Magnesium carbonate
Inorganic Salts,Magnesium chloride
Inorganic Salts,Magnesium hydroxide
Inorganic Salts,Magnesium iodide
Inorganic Salts,Magnesium nitrate
Inorganic Salts,Mercuric chloride
Inorganic Salts,Mercuric nitrate
Inorganic Salts,Mercury
Inorganic Salts,Methyl bromide
Inorganic Salts,Methyl chloride
Inorganic Salts,Nickel dichloride
Inorganic Salts,Nickel sulfate
Inorganic Salts,Nickelous nitrate
Inorganic Salts,Phenylhydrazine hydrochloride
Inorganic Salts,Phosphates
Inorganic Salts,Phosphorus oxychloride
Inorganic Salts,Phosphorus pentachloride
Inorganic Salts,Phosphorus trichloride
Inorganic Salts,Potassium bisulfate
Inorganic Salts,Potassium bromide
Inorganic Salts,Potassium chloride
Inorganic Salts,Potassium chromate
Inorganic Salts,Potassium dichromate
Inorganic Salts,Potassium ferricyanide
Inorganic Salts,Potassium fluoride
Inorganic Salts,Potassium hydrogen carbonate
Inorganic Salts,Potassium hypochlorite
Inorganic Salts,Potassium iodide
Inorganic Salts,Potassium nitrate
Inorganic Salts,Potassium permanganate
Inorganic Salts,Potassium persulfate
Inorganic Salts,Potassium sulfate
Inorganic Salts,Potassium thiosulfate
Inorganic Salts,Propyl nitrate
Inorganic Salts,Silver nitrate
Inorganic Salts,Sodium bicarbonate
Inorganic Salts,Sodium bisulfate
Inorganic Salts,Sodium bromide
Inorganic Salts,Sodium chloride
Inorganic Salts,Sodium chromate
Inorganic Salts,Sodium dichromate
Inorganic Salts,Sodium fluoride
Inorganic Salts,Sodium hypochlorite
Inorganic Salts,Sodium iodide
Inorganic Salts,Sodium nitrate
Inorganic Salts,Sodium persulfate
Inorganic Salts,Sodium phosphate
Inorganic Salts,Sodium polyphosphates
Inorganic Salts,Sodium silicate
Inorganic Salts,Sodium sulfate
Inorganic Salts,Sodium thiosulfate
Inorganic Salts,Stannic chloride
Inorganic Salts,Stannous chloride
Inorganic Salts,Strontium bromide
Inorganic Salts,Sulfur (mono)chloride
Inorganic Salts,Sulfur hexafluoride
Inorganic Salts,Sulfuryl chloride
Inorganic Salts,Tricresyl phosphate (TCF)
Inorganic Salts,Trioctyl phosphate
Inorganic Salts,Trisodium phosphate
Inorganic Salts,Vinyl chloride (VCM)
Inorganic Salts,Vinylidene chloride
Inorganic Salts,Zinc acetate
Inorganic Salts,Zinc bromide
Inorganic Salts,Zinc carbonate
Inorganic Salts,Zinc chloride
Inorganic Salts,Zinc nitrate
Inorganic Salts,Zinc phosphate
Inorganic Salts,Zinc sulfate
Ketones,Acetone
Ketones,Acetophenone
Ketones,"Chloro acetophenone, p-"
Ketones,Cyclohexanone
Ketones,Di-isopropyl ketone
Ketones,Diisobutyl ketone
Ketones,Dipropyl ketone
Ketones,Mesityl oxide
Ketones,Methyl butyl ketone
Ketones,Methyl ethyl ketone (MEK)
Ketones,Methyl isobutyl ketone
Ketones,Methyl isopropyl ketone
Ketones,Methyl propyl ketone
"Natural Oils, Fats & Waxes","Almond oil, sweet"
"Natural Oils, Fats & Waxes",Beef tallow
"Natural Oils, Fats & Waxes",Beef tallow emulsion
"Natural Oils, Fats & Waxes",Beeswax
"Natural Oils, Fats & Waxes",Bitter almond oil
"Natural Oils, Fats & Waxes",Camphor oil
"Natural Oils, Fats & Waxes",Carnauba wax
"Natural Oils, Fats & Waxes",Castor oil
"Natural Oils, Fats & Waxes",Coconut oil
"Natural Oils, Fats & Waxes",Eucalyptus oil
"Natural Oils, Fats & Waxes",Lanolin
"Natural Oils, Fats & Waxes",Lard
"Natural Oils, Fats & Waxes",Linseed oil
"Natural Oils, Fats & Waxes",Margarine
"Natural Oils, Fats & Waxes",Olive oil
"Natural Oils, Fats & Waxes",Palm oil
"Natural Oils, Fats & Waxes",Paraffin wax
"Natural Oils, Fats & Waxes",Paraffin-emulsion
"Natural Oils, Fats & Waxes",Peanut oil
"Natural Oils, Fats & Waxes",Soya oil
"Natural Oils, Fats & Waxes",Spirits of Turpentine
"Natural Oils, Fats & Waxes",Tallow
"Natural Oils, Fats & Waxes",Turpentine surrogate
"Natural Oils, Fats & Waxes",Vaseline
"Natural Oils, Fats & Waxes",Vaseline oil
Nitrile & Cyanide Compounds,Acetonitrile
Nitrile & Cyanide Compounds,Acrylonitrile
Nitrile & Cyanide Compounds,Cuprous cyanide
Nitrile & Cyanide Compounds,Hydrogen cyanide
Nitrile & Cyanide Compounds,Mercuric cyanide
Nitrile & Cyanide Compounds,Potassium cyanide
Nitrile & Cyanide Compounds,Silver cyanide
Nitrile & Cyanide Compounds,Sodium cyanide
Nitro Compounds,Nitroethane
Nitro Compounds,Nitropropane
Nitro Compounds,Nitrotoluene
"Paints, Coatings & Resins",Phenolic resin mass
"Paints, Coatings & Resins",Polish remover
Phenols & Cresols,Cresol (-mixtures)
Phenols & Cresols,Hydroquinone
Phenols & Cresols,Octyl cresol ?
Phenols & Cresols,Phenol
Phenols & Cresols,Resorcinol
Phenols & Cresols,Thymol
Salt Solutions (Aqueous),"Salt water, sea water"
Salt Solutions (Aqueous),Sea water
Silicones & Silicates,Precipitated silica
Silicones & Silicates,Silicone greases
Silicones & Silicates,Silicone oil
Sulfur Compounds,Allyl mustard oil
Sulfur Compounds,Carbon disulfide
Sulfur Compounds,Dimethyl sulfoxide (DMSO)
Sulfur Compounds,Ethyl mercaptan
Sulfur Compounds,Thiophene
Water & Aqueous Solutions,Mineral water
Water & Aqueous Solutions,Water
Water & Aqueous Solutions,"Water, distilled ~"
