"Parker O-Ring Chemical Compatibility Chart — Compatibility Tables for Gases, Fluids, Solids","","","","","","","","","","","","","","","","","","","","",""
"Source: Parker O-Ring & Engineered Seals Division, ORD 5700 O-Ring Handbook  |  2135 compounds  |  Ratings: 1=Satisfactory, 2=Fair, 3=Doubtful, 4=Unsatisfactory, X=Insufficient Data","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Compound / Fluid","Compound Code","NBR
(Nitrile)","HNBR
(Hydrog. Nitrile)","EPDM
(Ethylene Propylene)","FKM
(Fluorocarbon)","FKM
(Hifluor)","FFKM
(Perfluoroelastomer)","FEPM
(Aflas)","CR
(Neoprene)","SBR
(Styrene-Butadiene)","ACM
(Polyacrylate)","AU/EU
(Polyurethane)","IIR
(Butyl)","BR
(Butadiene)","IR
(Isoprene)","NR
(Natural Rubber)","CSM
(Hypalon)","FVMQ
(Fluorosilicone)","MQ/VMQ/PVMQ
(Silicone)","",""
"Acetophenone","E0540-80","4","4","1","4","2","1","2","4","4","4","4","2","4","4","4","4","4","4","",""
"Acetotoluidide","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Acetyl Acetone","E0540-80","4","4","1","4","2","1","2","4","4","4","4","1","4","4","4","4","4","4","",""
"Acetyl Bromide","V1164-75","4","4","1","1","1","1","2","4","4","4","4","1","4","4","4","4","4","4","",""
"Acetyl Chloride","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","1","4","",""
"Acetylene","E0540-80","1","1","1","1","1","1","1","2","2","4","4","1","2","2","2","2","X","2","",""
"Acetylene Tetrabromide","V1164-75","4","4","1","1","1","1","1","2","4","X","4","1","X","X","X","X","X","X","",""
"Acetylene Tetrachloride","V1164-75","4","4","1","1","1","1","1","2","4","X","4","1","X","X","X","X","X","X","",""
"Acetylsalicylic Acid","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Acids, Non-organic","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Acids, Organic","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Aconitic Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Acridine","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Acrolein","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Acrylic Acid","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Acrylonitrile","FF500-75","4","4","4","3","1","1","3","4","3","4","4","4","X","3","3","3","4","4","",""
"Adipic Acid","E0540-80","1","1","2","X","1","1","2","X","X","X","X","X","X","X","X","X","X","X","",""
"Aero Lubriplate","N0674-70","1","1","4","1","1","1","2","1","2","1","1","4","4","4","4","1","1","2","",""
"Aero Shell 17 Grease","N0674-70","1","1","4","1","1","1","2","2","4","1","1","4","4","4","4","1","1","2","",""
"Aero Shell 560","VM835-75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Aero Shell 750","V1164-75","2","2","4","1","1","1","2","4","4","2","4","4","4","4","4","4","2","4","",""
"Aero Shell 7A Grease ( MIL-G-23827)","N0674-70","2","2","4","1","1","1","2","2","4","1","1","4","4","4","4","1","1","2","",""
"Aero Shell IAC","N0674-70","1","1","4","1","1","1","2","2","4","1","1","4","4","4","4","1","1","2","",""
"Aerosafe 2300","E0540-80","4","4","1","4","1","1","2","4","4","4","4","2","4","4","4","4","3","3","",""
"Aerosafe 2300W","E0540-80","4","4","1","4","1","1","2","4","4","4","4","2","4","4","4","4","3","3","",""
"Aerozene 50 (50% Hydrazine 50% UDMH)","E0540-80","3","3","1","4","3","2","2","4","4","X","4","1","4","4","4","4","4","4","",""
"Air, 200 - 300° F","S0604-70","3","3","2","1","1","1","1","2","4","2","3","2","4","4","4","2","1","1","",""
"Air, 300 - 400° F","S0604-70","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","1","",""
"Air, 400 - 500° F","S0455-70","4","4","4","3","2","2","3","4","4","4","4","4","4","4","4","4","4","2","",""
"Air, Below 200° F","E0540-80","2","2","1","1","1","1","1","1","2","1","2","1","2","2","2","1","1","1","",""
"Aliphatic Dicarboxylic Acid","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Alkanes (Paraffin Hydrocarbons)","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Alkanesulfonic Acid","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Alkazene","V1164-75","4","4","4","2","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Alkenes (Olefin Hydrocarbons)","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Alkyl Acetone","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Alkyl Alcohol","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Alkyl Amine","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Alkyl Aryl Sulfonates","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Alkyl Aryl Sulfonics","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Alkyl Benzene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Alkyl Chloride","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Alkyl Lithium","FF500-75","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Alkyl Sulfide*","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Alkylnaphthalene Sulfonic Acid","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Allyl Chloride","V1164-75","2","2","4","1","1","1","X","1","X","X","X","X","X","X","X","X","X","X","",""
"Allylidene Diacetate","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Alpha Picoline","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Aluminum Acetate","E0540-80","2","2","1","4","1","1","2","2","2","4","4","1","4","1","1","4","4","4","",""
"Aluminum Bromide","N0674-70","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","",""
"Aluminum Chlorate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Aluminum Chloride","N0674-70","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","2","",""
"Aluminum Ethylate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Aluminum Fluoride","N0674-70","1","1","1","1","1","1","1","1","1","X","3","1","1","1","2","1","1","2","",""
"Aluminum Fluorosilicate*","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Aluminum Formate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Aluminum Hydroxide","E0540-80","2","X","1","2","1","1","1","X","X","X","X","X","X","X","X","X","X","2","",""
"Aluminum Linoleate","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Aluminum Nitrate","N0674-70","1","1","1","1","1","1","1","1","1","X","3","1","1","1","1","1","X","2","",""
"Aluminum Oxalate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Aluminum Phosphate","E0540-80","1","1","1","1","1","1","1","1","X","X","X","X","X","X","X","X","X","2","",""
"Aluminum Potassium Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Aluminum Salts","N0674-70","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","",""
"Aluminum Sodium Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Aluminum Sulfate","N0674-70","1","1","1","1","1","1","1","1","2","4","4","1","1","1","1","1","1","1","",""
"Alums-NH3 -Cr -K","N0674-70","1","1","1","4","1","1","2","1","1","4","X","1","1","1","1","1","4","1","",""
"Ambrex 33 (Mobil)","N0674-70","1","1","4","1","1","1","2","2","4","1","2","4","4","4","4","3","3","4","",""
"Ambrex 830 (Mobil)","N0674-70","1","1","3","1","1","1","2","2","4","1","1","3","4","4","4","2","1","2","",""
"Amines-Mixed","C0873-70","4","4","2","4","3","2","3","2","2","4","4","2","2","2","2","4","4","2","",""
"Aminoanthraquinone","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Aminoazobenzene","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Aminobenzene Sulfonic Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Aminobenzoic Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Aminopyridine","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Aminosalicylic Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Ammonia (Anhydrous)","C0873-70","2","2","1","4","3","2","2","1","4","4","4","1","4","4","4","4","4","2","",""
"Ammonia and Lithium Metal in Solution","E0540-80","2","2","2","4","4","4","3","X","4","4","4","2","4","4","4","4","4","4","",""
"Ammonia, Gas, Cold","C0873-70","1","1","1","4","2","1","2","1","1","4","X","1","1","1","1","1","4","1","",""
"Ammonia, Gas, Hot","C0873-70","4","4","2","4","3","2","2","2","4","4","X","2","4","4","4","2","4","X","",""
"Ammonia, Liquid (Anhydrous)","C0873-70","2","2","1","4","3","2","2","1","4","4","4","1","4","4","4","2","4","2","",""
"Ammonium Acetate","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Arsenate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Benzoate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Bicarbonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Bisulfite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Bromide","N0674-70","1","1","1","1","1","1","1","1","1","X","1","1","X","X","1","1","X","X","",""
"Ammonium Carbamate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Carbonate","C0873-70","4","4","1","1","1","1","1","1","1","4","4","1","X","X","1","1","X","X","",""
"Ammonium Chloride, 2N","N0674-70","1","1","1","1","1","1","1","1","1","X","1","1","X","X","1","1","X","X","",""
"Ammonium Citrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Dichromate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Diphosphate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Fluoride","N0674-70","1","1","1","1","1","1","1","1","1","X","1","1","X","X","1","1","X","X","",""
"Ammonium Fluorosilicate*","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Ammonium Formate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Hydroxide, 3 Molar","E0540-80","1","1","1","3","2","2","2","1","2","4","4","1","2","2","2","1","1","1","",""
"Ammonium Hydroxide, Concentrated","E0540-80","4","4","1","4","3","2","2","1","3","4","4","1","3","3","3","1","1","1","",""
"Ammonium Iodide","N0674-70","1","1","1","1","1","1","1","1","1","X","1","1","X","X","1","1","X","X","",""
"Ammonium Lactate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Metaphosphate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Molybdenate*","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Nitrate, 2N","N0674-70","1","1","1","X","X","X","2","1","1","2","X","1","X","X","3","1","X","X","",""
"Ammonium Nitrite","N0674-70","1","1","1","X","1","1","2","1","1","X","X","1","1","1","1","1","X","2","",""
"Ammonium Oxalate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Perchlorate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Perchloride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Ammonium Persulfate 10%","E0540-80","4","4","1","X","X","X","2","1","4","4","4","1","X","1","1","X","X","X","",""
"Ammonium Persulfate Solution","E0540-80","4","4","1","X","1","1","2","X","4","4","4","1","X","1","1","X","X","X","",""
"Ammonium Phosphate","N0674-70","1","1","1","4","1","1","2","1","1","X","X","1","X","1","1","1","X","1","",""
"Ammonium Phosphate, Dibasic","N0674-70","1","1","1","X","1","1","2","1","1","X","X","1","X","1","1","1","X","1","",""
"Ammonium Phosphate, Mono-Basic","N0674-70","1","1","1","X","1","1","2","1","1","X","X","1","X","1","1","1","X","1","",""
"Ammonium Phosphate, Tribasic","N0674-70","1","1","1","X","1","1","2","1","1","X","X","1","X","1","1","1","X","1","",""
"Ammonium Phosphite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Picrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Polysulfide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Salicylate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Salts","N0674-70","1","1","1","3","1","1","2","1","1","3","X","1","X","1","1","1","3","1","",""
"Ammonium Sulfamate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Sulfate","N0674-70","1","1","1","4","1","1","2","1","2","4","X","1","1","1","1","1","X","X","",""
"Ammonium Sulfate Nitrate","N0674-70","1","1","1","4","1","1","2","1","2","4","X","1","1","1","1","1","X","X","",""
"Ammonium Sulfide","N0674-70","1","1","1","4","1","1","2","1","2","4","X","1","1","1","1","1","X","X","",""
"Ammonium Sulfite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Thiocyanate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Thioglycolate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Thiosulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Tungstate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ammonium Valerate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Amyl Acetate","N0674-70","1","1","3","4","1","1","3","4","4","4","4","3","4","4","4","4","4","4","",""
"Amyl Alcohol","E0540-80","2","2","1","2","1","1","1","2","2","4","4","1","2","2","2","2","1","4","",""
"Amyl Borate","N0674-70","1","1","4","1","1","1","2","1","4","X","X","4","4","4","4","1","X","X","",""
"Amyl Butyrate","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Amyl Chloride","V1164-75","X","X","4","1","1","1","2","4","4","4","X","4","4","4","4","4","2","4","",""
"Amyl Chloronaphthalene","V1164-75","4","4","4","1","1","1","2","4","4","4","X","4","4","4","4","4","2","4","",""
"Amyl Cinnamic Aldehyde","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Amyl Laurate","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Amyl Mercaptan","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Amyl Naphthalene","V1164-75","4","4","4","1","1","1","2","4","4","2","4","4","4","4","4","4","1","4","",""
"Amyl Nitrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Amyl Nitrite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Amyl Phenol","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Amyl Propionate","N0674-70","1","1","4","1","2","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"AN-O-3 Grade M","N0674-70","1","1","4","1","1","1","1","2","4","1","1","4","4","4","4","2","1","2","",""
"AN-O-366","N0674-70","1","1","4","1","1","1","2","2","4","1","1","4","4","4","4","2","1","4","",""
"AN-O-6","N0674-70","1","1","4","1","1","1","1","2","4","1","1","4","4","4","4","2","1","4","",""
"AN-VV-O-366b Hydr. Fluid","N0674-70","1","1","4","1","1","1","1","2","4","2","2","4","4","4","4","2","1","4","",""
"Anderol, L- 826 (di-ester)","V1164-75","2","2","4","1","1","1","2","4","4","2","4","4","4","4","4","4","2","4","",""
"Anderol, L- 829 (di-ester)","V1164-75","2","2","4","1","1","1","2","4","4","2","4","4","4","4","4","4","2","4","",""
"Anderol, L-774 (di-ester)","V1164-75","2","2","4","1","1","1","2","4","4","2","4","4","4","4","4","4","2","4","",""
"ANG-25 (Di-ester Base) (TG749)","V1164-75","2","2","4","1","1","1","2","4","4","2","4","4","4","4","4","4","2","2","",""
"ANG-25 (Glyceral Ester)","E0540-80","2","2","1","1","1","1","1","2","2","4","4","2","2","2","2","2","2","2","",""
"Aniline","E0540-80","4","4","2","3","1","1","2","4","4","4","4","2","4","4","4","4","3","4","",""
"Aniline Dyes","E0540-80","4","4","2","2","1","1","2","2","2","4","4","2","2","2","2","2","2","3","",""
"Aniline Hydrochloride","E0540-80","2","2","2","2","1","1","2","4","3","4","4","2","4","2","2","4","2","3","",""
"Aniline Oil","E0540-80","4","4","2","3","2","2","2","4","4","4","4","2","4","4","4","4","3","4","",""
"Aniline Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Aniline Sulfite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Animal Fats","N0674-70","1","1","2","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Animal Oil (Lard Oil)","N0674-70","1","1","2","1","1","1","2","2","4","1","2","2","4","4","4","2","1","2","",""
"Anisole","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Anisoyl Chloride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Ansul Ether 161 or 181","V3819-75","3","3","3","4","1","1","3","4","4","4","2","3","4","4","4","4","3","4","",""
"Anthracene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Anthranilic Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Anthraquinone","V3819-75","X","X","X","X","2","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Anti-freeze Solutions","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Antimony Chloride","N0674-70","1","1","4","1","1","1","1","2","4","1","1","4","4","4","4","2","1","4","",""
"Antimony Pentachloride","N0674-70","1","1","4","1","1","1","1","2","4","1","1","4","4","4","4","2","1","4","",""
"Antimony Pentafluoride","V3819-75","X","X","X","X","2","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Antimony Sulfate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Antimony Tribromide","N0674-70","1","1","4","1","1","1","1","2","4","1","1","4","4","4","4","2","1","4","",""
"Antimony Trichloride","N0674-70","1","1","4","1","1","1","1","2","4","1","1","4","4","4","4","2","1","4","",""
"Antimony Trifluoride","N0674-70","1","1","4","1","1","1","1","2","4","1","1","4","4","4","4","2","1","4","",""
"Antimony Trioxide","N0674-70","1","1","4","1","1","1","1","2","4","1","1","4","4","4","4","2","1","4","",""
"Aqua Regia","V3819-75","4","3","3","2","2","2","3","4","X","X","X","X","X","X","X","X","X","X","",""
"Arachidic Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Argon","B0612-70","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Armor All","N0674-70","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Aroclor, 1248","V1164-75","3","3","2","1","1","1","1","4","4","4","4","2","4","4","4","4","2","2","",""
"Aroclor, 1254","V1164-75","4","4","2","1","1","1","1","4","4","4","4","4","4","4","4","4","2","3","",""
"Aroclor, 1260","V1164-75","1","1","X","1","1","1","1","1","1","4","4","1","1","1","1","1","1","1","",""
"Aromatic Fuel -50%","V1164-75","2","2","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Arsenic Acid","E0540-80","1","1","1","1","1","1","1","1","1","3","3","1","1","1","2","1","1","1","",""
"Arsenic Oxide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Arsenic Trichloride","N0674-70","1","1","4","4","1","1","X","1","X","X","X","X","X","X","X","X","X","X","",""
"Arsenic Trioxide","N0674-70","1","1","4","4","1","1","X","1","X","X","X","X","X","X","X","X","X","X","",""
"Arsenic Trisulfide","N0674-70","1","1","4","4","1","1","X","1","X","X","X","X","X","X","X","X","X","X","",""
"Arsenites","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Arsine","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Aryl Orthosilicate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Ascorbic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Askarel Transformer Oil","V1164-75","2","2","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Aspartic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Asphalt","V1164-75","2","2","4","1","1","1","2","2","4","2","2","4","4","4","4","2","2","4","",""
"ASTM Oil, No. 1","N0674-70","1","1","4","1","1","1","1","1","4","1","1","4","4","4","4","2","1","1","",""
"ASTM Oil, No. 2","N0674-70","1","1","4","1","1","1","1","2","4","1","2","4","4","4","4","4","1","4","",""
"ASTM Oil, No. 3","N0674-70","1","1","4","1","1","1","1","4","4","1","2","4","4","4","4","4","1","3","",""
"ASTM Oil, No. 4","V1164-75","2","2","4","1","1","1","1","4","4","2","4","4","4","4","4","4","2","4","",""
"ASTM Oil, No. 5","V1164-75","1","1","4","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"ASTM Reference Fuel A","N0674-70","1","1","4","1","1","1","1","2","4","2","1","4","4","4","4","2","1","4","",""
"ASTM Reference Fuel B","N1500-75","1","1","4","1","1","1","1","4","4","4","2","4","4","4","4","4","1","4","",""
"ASTM Reference Fuel C","V1164-75","2","2","4","1","1","1","1","4","4","4","4","4","4","4","4","4","2","4","",""
"ASTM Reference Fuel D","V1164-75","2","2","4","1","1","1","4","4","X","X","X","X","X","X","X","X","X","X","",""
"ATL-857","V1164-75","2","2","4","1","1","1","1","4","4","2","4","4","4","4","4","4","2","4","",""
"Atlantic Dominion F","N0674-70","1","1","4","1","1","1","2","2","4","1","2","4","4","4","4","4","1","4","",""
"Atlantic Utro Gear-e","N0674-70","1","1","4","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Atlantic Utro Gear-EP Lube","V1164-75","1","1","4","1","1","1","2","2","4","1","1","4","4","4","4","4","1","4","",""
"Aure 903R (Mobil)","N0304-75","1","1","4","1","1","1","2","2","4","1","1","4","4","4","2","4","4","4","",""
"AUREX 256","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Automatic Transmission Fluid","N0674-70","1","1","4","1","1","1","2","2","4","1","2","4","4","4","4","3","X","4","",""
"Automotive Brake Fluid","E0667-70","3","3","1","4","1","1","2","2","1","4","4","2","X","X","X","2","4","3","",""
